,n_submodels,n_features,smooth,bootstrap,average_accuracy,standard_deviation
1,5,5,0.0,True,0.5608788093550674,0.16497840933298288
2,5,5,0.0,False,0.9335931963146704,0.04106287033603718
3,5,5,0.5,True,0.6292700212615168,0.12942443638411966
4,5,5,0.5,False,0.9254429482636428,0.030596234411088025
5,5,5,1.0,True,0.43210489014883063,0.1271882060731622
6,5,5,1.0,False,0.9092133238837704,0.026567822689383905
7,5,5,5.0,True,0.58830616583983,0.15070049751096798
8,5,5,5.0,False,0.9121899362154501,0.03931617970426283
9,5,10,0.0,True,0.4489014883061658,0.15126330163679144
10,5,10,0.0,False,0.9645641389085755,0.03233335431430854
11,5,10,0.5,True,0.5081502480510276,0.17006260079079172
12,5,10,0.5,False,0.953437278525868,0.03993550798425308
13,5,10,1.0,True,0.5394046775336642,0.10410013847189728
14,5,10,1.0,False,0.9432317505315378,0.03982265609623608
15,5,10,5.0,True,0.4844790928419561,0.15338127473451962
16,5,10,5.0,False,0.9560595322466338,0.024322530756236915
17,5,15,0.0,True,0.48469170800850464,0.14035551880670133
18,5,15,0.0,False,0.9795889440113396,0.03483083782487919
19,5,15,0.5,True,0.5542877391920624,0.12354323565302054
20,5,15,0.5,False,0.9778171509567682,0.02321533050927746
21,5,15,1.0,True,0.6130403968816441,0.1812848227976658
22,5,15,1.0,False,0.9801559177888024,0.018860402095014803
23,5,15,5.0,True,0.6425939050318923,0.1651259569158899
24,5,15,5.0,False,0.9672572643515236,0.012795437529224662
25,5,20,0.0,True,0.5133947554925585,0.20421541326009524
26,5,20,0.0,False,0.996243798724309,0.0013465627214741345
27,5,20,0.5,True,0.5476966690290573,0.16479856283284844
28,5,20,0.5,False,0.9917080085046066,0.002330160485155713
29,5,20,1.0,True,0.5651311126860383,0.1325946094287994
30,5,20,1.0,False,0.9817859673990078,0.0067536698118789255
31,5,20,5.0,True,0.5884479092841957,0.17243369646633439
32,5,20,5.0,False,0.9508150248051027,0.0100936859267923
33,10,5,0.0,True,0.4596739900779589,0.08826087823113547
34,10,5,0.0,False,0.906024096385542,0.026642866385838564
35,10,5,0.5,True,0.4634301913536499,0.10416429081284008
36,10,5,0.5,False,0.9251594613749115,0.030695229332137006
37,10,5,1.0,True,0.5382707299787385,0.10201159097142688
38,10,5,1.0,False,0.9198440822111978,0.03520898313333203
39,10,5,5.0,True,0.5766123316796599,0.0704767163621401
40,10,5,5.0,False,0.9172927002126151,0.03949030613813972
41,10,10,0.0,True,0.5057406094968108,0.14441326858963152
42,10,10,0.0,False,0.9669029057406094,0.02374160381272483
43,10,10,0.5,True,0.467115520907158,0.1417659266365769
44,10,10,0.5,False,0.9589652728561303,0.022114816550713474
45,10,10,1.0,True,0.5130403968816443,0.11315639813819903
46,10,10,1.0,False,0.9591778880226789,0.026217173393608188
47,10,10,5.0,True,0.5720056697377747,0.13586922460772524
48,10,10,5.0,False,0.9452870304748405,0.019216041181667937
49,10,15,0.0,True,0.4947554925584692,0.13950408588931495
50,10,15,0.0,False,0.9973068745570517,0.0019742577288708978
51,10,15,0.5,True,0.518781006378455,0.10018815291608943
52,10,15,0.5,False,0.9895818568391211,0.006761102864769021
53,10,15,1.0,True,0.4778880226789511,0.14594105269290758
54,10,15,1.0,False,0.9663359319631468,0.027547593177354748
55,10,15,5.0,True,0.5836995038979447,0.0901666582178848
56,10,15,5.0,False,0.9484762579730688,0.013406000252339812
57,10,20,0.0,True,0.5463501063075833,0.20704987752779452
58,10,20,0.0,False,0.9975903614457833,0.0009076008841152243
59,10,20,0.5,True,0.5464209780297661,0.1435102500642717
60,10,20,0.5,False,0.9895109851169381,0.0038139260232668
61,10,20,1.0,True,0.5637136782423813,0.11915355583623043
